,,,,,,,,
Day,Topic,Provider,Lab Duration,Course Link,,,,
,S3 Hands On,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055910#overview,,,,
,S3 Website Overview,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055922#overview,,,,
,S3 Website Hands On,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055926#overview,,,,
,S3 Versioning Overview,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055932#overview,,,,
,S3 Versioning Hands On,Udemy,4m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20207474#overview,,,,
,S3 Replication Overview,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055940#overview,,,,
,S3 Replication Hands On,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20207498#overview,,,,
,S3 Storage Classes Overview,Udemy,6m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055948#overview,,,,
,S3 Storage Classes Hands On,Udemy,4m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055952#overview,,,,
,S3 Express One Zone,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/51958377#overview,,,,
,S3 Encryption,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/29102298#overview,,,,
,AWS Snow Family Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/24682476#overview,,,,
,AWS Snow Family Hands On,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/24682482#overview,,,,
,Storage Gateway Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055966#overview,,,,
,S3 Summary,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20260634#overview,,,,
,S3 Quiz,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/quiz/4900312#overview,,,,
,Lab - Amazon EBS Getting Started,SkillBuilder,1h,https://skillbuilder.aws/learn/VPUZTA8TZ8/amazon-ebs-getting-started/AK8ZW5XVZM,,,,
,Lab - Amazon S3 Getting Started,SkillBuilder,1h,https://skillbuilder.aws/learn/H99Y6PR2F7/amazon-s3-getting-started/TCVDGQFEJR,,,,
,Lab - AWS Simulearn: File Systems In The Cloud,Skillbuilder,1h,https://skillbuilder.aws/learn/A5M8X2CHM3/aws-simulearn-file-systems-in-the-cloud/RAJVAUNMHR?parentId=1UQVR262ZB,,,,
,,,,,,,,
Thursday,"IAM, IAM policies, and S3 policies",,,,,,,
,Digital Course - Introduction to AWS Identity and Access Management (IAM),SkillBuilder,10m,https://skillbuilder.aws/learn/M1QWQ1MURQ/introduction-to-aws-identity-and-access-management-iam/W4W2NQF2AR#,,,,
,Section 4: IAM - Identity and Access Management,Udemy,1h,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20054584#overview,,,,
,S3 Security: Bucket Policy,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055916#overview,,,,
,S3 Security: Bucket Policy Hands On,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055920#overview,,,,
,IAM Access Analyzer for S3,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/40515842#overview,,,,
,Shared Responsibility Model for S3,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055960#overview,,,,
,Lab - Introduction to AWS Identity and Access Management (IAM),SkillBuilder,45m,https://skillbuilder.aws/learn/XFPX3M7HAQ/introduction-to-aws-identity-and-access-management-iam/DQJ3N5QRRU,,,,
,Lab - AWS SimuLearn: Core Security Concepts,Skillbuilder,1h,https://skillbuilder.aws/learn/3KYWQBTSTV/aws-simulearn-core-security-concepts/Q29T2DWZPK,,,,
,Lab - Meeting Simulator: Security & IAM Strategy — Qualifying the Access Management Opportunity,Skillbuilder,1h,https://skillbuilder.aws/learn/D56PFABGAG/meeting-simulator-security--iam-strategy--qualifying-the-access-management-opportunity/T2MC2CWWN1,,,,
,Lab - AWS Identity and Access Management (IAM) - Troubleshooting,Skillbuilder,1h,https://skillbuilder.aws/learn/ESGHTNXQFZ/aws-identity-and-access-management-iam--troubleshooting/3MQXNQUUQ4,,,,
,,,,,,,,
Friday,Free three-tier app lab using floci and docker compose,,,"Lab prototype created, pending further revision",,,,
,,,,,,,,
Week 3,,,,,,,,
Monday,RDS & Relational Databases,,,,,,,
,Getting started with Amazon RDS,AWS Docs,30m,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.html,,,,
,Section 9: Databases & Analytics,Udemy,47m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20118314#overview,,,,
,Introduction to Building with AWS Databases,SkillBuilder,3h,https://skillbuilder.aws/learn/HYKKWEN9ZS/introduction-to-building-with-aws-databases/V7RVH2KY91,,,,
,AWS Database Offerings,SkillBuilder,4h,https://skillbuilder.aws/learn/C441JQQB8V/aws-database-offerings/2DAN292RB8,,,,
,AWS SimuLearn: Databases in Practice,SkillBuilder,1h,https://skillbuilder.aws/learn/6VTV7UQ6CY/aws-simulearn-databases-in-practice/3M6ZTC32MX,,,,
,Amazon Aurora Labs for PostgreSQL,AWS Workshop,6-8h,https://catalog.workshops.aws/workshops/098605dc-8eee-4e84-85e9-c5c6c9e43de2/en-US,,,,
,Amazon RDS for PostgreSQL,AWS Workshop,8h,https://catalog.workshops.aws/workshops/2a5fc82d-2b5f-4105-83c2-91a1b4d7abfe/en-US,,,,
,,,,,,,,
Tuesday,DynamoDB & NoSQL,,,,,,,
,Lab - Introduction to Amazon DynamoDB,SkillBuilder,45m,https://skillbuilder.aws/learn/6DYXN7K7ZQ/lab--introduction-to-amazon-dynamodb/GZ3EU55RYJ,,,,
,Amazon DynamoDB for Serverless Architectures,SkillBuilder,2h,https://skillbuilder.aws/learn/SY1Y83VKTB/amazon-dynamodb-for-serverless-architectures/K9NM3PHH3S,,,,
,AWS SimuLearn: First NoSQL Database,SkillBuilder,1h,https://skillbuilder.aws/learn/BF6P6UBMK7/aws-simulearn-first-nosql-database/2BYZJD6PTB,,,,
,Amazon DynamoDB Immersion Day,AWS Workshop,4h,https://catalog.workshops.aws/workshops/2eff9da8-f655-4930-8131-6cdf97c688d4/en-US,,,,
,AWS 101 - NoSQL Databases,AWS Workshop,8h,https://catalog.us-east-1.prod.workshops.aws/workshops/31ddd26e-91ae-4ec4-a96a-dec96302b306/en-US,,,,
